     Angle,       PSD
56.4158,427
56.4355,406
56.4552,437
56.4748,401
56.4945,403
56.5142,406
56.5339,427
56.5535,438
56.5732,417
56.5929,437
56.6126,431
56.6322,422
56.6519,378
56.6716,396
56.6912,434
56.7109,393
56.7306,429
56.7503,393
56.7699,406
56.7896,420
56.8093,475
56.829,394
56.8486,393
56.8683,409
56.888,411
56.9077,435
56.9273,433
56.947,392
56.9667,391
56.9863,396
57.006,443
57.0257,428
57.0454,449
57.065,421
57.0847,422
57.1044,404
57.1241,428
57.1437,383
57.1634,400
57.1831,420
57.2028,398
57.2224,429
57.2421,446
57.2618,421
57.2815,424
57.3011,445
57.3208,428
57.3405,460
57.3601,417
57.3798,401
57.3995,423
57.4192,423
57.4388,419
57.4585,434
57.4782,406
57.4979,413
57.5175,406
57.5372,409
57.5569,443
57.5766,412
57.5962,406
57.6159,449
57.6356,449
57.6553,388
57.6749,412
57.6946,451
57.7143,437
57.7339,432
57.7536,420
57.7733,427
57.793,422
57.8126,422
57.8323,412
57.852,444
57.8717,427
57.8913,428
57.911,397
57.9307,427
57.9504,427
57.97,385
